Gene_ID	BHI1	BHI2	BHI3	Serum1	Serum2	Serum3
AENJPLPP_00376	6178	6626	6391	7099	7951	6872
AENJPLPP_00377	1244	1487	1260	346	415	427
AENJPLPP_00378	1989	2083	1708	508	616	640
AENJPLPP_00379	2180	2063	2031	717	830	689
AENJPLPP_00380	5869	7518	6418	802	919	874
AENJPLPP_00381	851	725	787	75	83	96
AENJPLPP_00382	13216	13053	12960	1909	2271	1992
AENJPLPP_00383	8248	8577	7526	1076	1207	992
AENJPLPP_00384	3274	3827	2814	1819	2038	1918
AENJPLPP_00385	9654	10309	9365	9271	10310	9250
AENJPLPP_00386	3849	3930	3348	7779	8685	7971
AENJPLPP_00387	1831	1720	1571	6350	7938	6715
AENJPLPP_00388	3052	2947	2624	8696	10193	9628
AENJPLPP_00389	3324	3988	3261	5361	7227	6256
AENJPLPP_00390	2870	2680	2472	7603	8616	8012
AENJPLPP_00391	692	693	595	2367	2917	2613
AENJPLPP_00392	995	1006	852	40973	42507	40242
AENJPLPP_00393	663	704	583	1052	1152	1037
AENJPLPP_00394	616	658	633	718	985	958
AENJPLPP_00395	475	516	390	40	42	42
AENJPLPP_00396	49	58	57	4	3	5
AENJPLPP_00397	81	94	66	10	10	5
AENJPLPP_00398	456	517	447	556	619	564
AENJPLPP_00399	128	114	141	18	24	14
AENJPLPP_00400	12	9	20	3	6	4
AENJPLPP_00401	17	22	16	5	9	8
AENJPLPP_00402	171	138	125	56	56	58
AENJPLPP_00403	43	28	39	29	35	19
AENJPLPP_00404	28	26	40	31	16	16
AENJPLPP_00405	89	138	116	88	104	77
AENJPLPP_00406	41	32	28	8	10	11
AENJPLPP_00407	945	1117	1135	176	209	206
AENJPLPP_00408	6786	6742	6097	1553	2018	1568
AENJPLPP_00409	8467	7975	7759	2591	2886	2753
AENJPLPP_00410	337	333	268	7639	7640	8849
AENJPLPP_00411	34	46	24	197	247	319
AENJPLPP_00412	104	108	96	250	205	269
AENJPLPP_00413	325	293	259	147	152	133
AENJPLPP_00414	52	59	66	7	24	29
AENJPLPP_00415	6	8	2	0	2	0
AENJPLPP_00416	0	1	0	0	1	0
AENJPLPP_00417	8823	8896	8248	11332	14636	12702
AENJPLPP_00418	95	127	108	245	329	295
AENJPLPP_00419	608	643	612	1019	1335	1152
AENJPLPP_00420	1948	1436	1343	365	485	354
AENJPLPP_00421	13169	11568	10828	3047	3459	3141
AENJPLPP_00422	4062	3544	3175	5030	6030	15080
AENJPLPP_00423	9432	9324	7726	5272	6928	6082
AENJPLPP_00424	1699	1590	1387	790	1069	1023
AENJPLPP_00425	1703	2023	1788	7650	8771	8547
AENJPLPP_00426	1098	1068	990	5090	6021	5789
AENJPLPP_00427	2094	2205	2002	14279	16916	15949
AENJPLPP_00428	1086	1212	1061	1051	1377	1128
AENJPLPP_00429	3	6	2	4	8	5
AENJPLPP_00430	13562	13073	11584	17287	19283	18494
AENJPLPP_00431	7892	7954	7208	7546	7666	7102
AENJPLPP_00432	4648	4804	4152	4446	4558	4376
AENJPLPP_00433	2681	3048	2377	2607	3064	2729
AENJPLPP_00434	2165	2041	1782	3631	4183	5139
AENJPLPP_00435	2053	1991	1797	2701	3381	4094
AENJPLPP_00436	1200	1104	1013	2089	2501	2824
AENJPLPP_00437	652	576	471	1170	1150	1550
AENJPLPP_00438	838	978	893	2301	2406	2945
AENJPLPP_00439	6648	6574	6037	14679	16346	21130
AENJPLPP_00440	2002	2141	1859	4673	5703	7583
AENJPLPP_00441	1481	1601	1382	3427	3872	5249
AENJPLPP_00442	1297	1374	1278	2758	3100	4342
AENJPLPP_00443	1713	1680	1536	2730	3231	4399
AENJPLPP_00444	984	1037	892	2297	2654	3615
AENJPLPP_00445	7818	8528	7715	8703	9713	9117
AENJPLPP_00446	2678	2580	2247	3314	3821	3643
AENJPLPP_00447	1170	1452	1362	1703	1971	1723
AENJPLPP_00448	3835	3463	2842	4308	4650	4721
AENJPLPP_00449	4149	3712	3467	38658	47937	40503
AENJPLPP_00450	3319	3405	3192	6537	7424	6547
AENJPLPP_00451	3523	3448	2878	2710	3266	3010
AENJPLPP_00452	269	224	171	117	148	130
AENJPLPP_00453	3517	3569	3071	3259	3602	3283
AENJPLPP_00454	3097	3351	2889	3279	4055	3767
AENJPLPP_00455	47591	48300	43990	8865	10652	9628
AENJPLPP_00456	338	350	347	504	524	502
AENJPLPP_00457	24518	24300	21715	11164	38491	11833
AENJPLPP_00458	4158	4577	4071	3634	4350	3998
AENJPLPP_00459	56	78	65	99	153	119
AENJPLPP_00460	84	109	68	50	48	51
AENJPLPP_00461	74	63	83	76	77	84
AENJPLPP_00462	105	152	133	87	115	92
AENJPLPP_00463	28	47	30	33	35	39
AENJPLPP_00464	2305	2190	1970	1623	1827	1684
AENJPLPP_00465	15239	15681	13927	14477	16407	14600
AENJPLPP_00466	16799	16476	14869	9642	11062	9957
AENJPLPP_00467	10092	12826	11927	7494	9264	8598
AENJPLPP_00468	1751	1845	1484	790	932	966
AENJPLPP_00469	1889	1887	1893	488	670	579
AENJPLPP_00470	24069	22845	19849	9416	11531	10288
AENJPLPP_00471	4	3	5	12	9	12
AENJPLPP_00472	113	190	151	16	31	20
AENJPLPP_00473	3829	3380	2937	4048	4506	4214
AENJPLPP_00474	3100	3379	2959	2035	2439	2038
AENJPLPP_00475	46	60	69	18	26	16
AENJPLPP_00476	251	323	279	393	456	348
AENJPLPP_00477	1852	1776	1406	8373	8864	8254
AENJPLPP_00478	11192	11300	9637	15506	16562	16502
AENJPLPP_00479	2948	2918	3163	2035	2269	1935
AENJPLPP_00480	8867	9149	7261	24141	26814	24981
AENJPLPP_00481	1909	1711	1674	456	515	576
AENJPLPP_00482	14	13	18	36	42	50
AENJPLPP_00483	62605	56047	50547	129766	146259	140556
AENJPLPP_00484	2342	3145	3279	2212	3006	2333
AENJPLPP_00485	5003	4739	4568	3720	4512	3902
AENJPLPP_00486	521	442	518	6069	7208	7043
AENJPLPP_00487	15897	14242	13471	2405	2871	2628
AENJPLPP_00488	38209	36433	31901	7816	8780	8345
AENJPLPP_00489	2335	2109	1951	3776	3665	3398
AENJPLPP_00490	3264	3077	2667	2858	3456	3171
AENJPLPP_00491	4405	4326	3829	2031	2310	2229
AENJPLPP_00492	9196	8046	7327	16489	18514	17109
AENJPLPP_00493	29675	23765	21284	8580	9869	9342
AENJPLPP_00494	8386	8936	7836	51165	57058	53804
AENJPLPP_00495	5936	5702	5081	1078	1264	1049
AENJPLPP_00496	44	36	39	50	43	59
AENJPLPP_00497	1863	1971	1645	1335	1589	1404
AENJPLPP_00498	7399	6413	5350	1260	1513	1381
AENJPLPP_00499	18085	16638	15185	1398	1720	1426
AENJPLPP_00500	25351	29667	25480	1647	2216	1800
AENJPLPP_00501	10416	11149	9854	6973	7565	7287
AENJPLPP_00502	1919	1986	2020	616	733	771
AENJPLPP_00503	3845	3854	3569	1922	2099	1878
AENJPLPP_00504	938	974	930	543	689	507
AENJPLPP_00505	8580	8554	7653	4199	4683	4141
AENJPLPP_00506	2821	3137	2736	799	985	816
AENJPLPP_00507	2783	2607	2470	1757	2089	2046
AENJPLPP_00508	2476	2244	2016	1267	1555	1398
AENJPLPP_00509	14059	12551	10761	9081	9549	9252
AENJPLPP_00510	8335	9104	8010	6773	7947	7646
AENJPLPP_00511	9271	8573	8068	2081	2561	2408
AENJPLPP_00512	30509	29997	26309	6810	7805	7450
AENJPLPP_00513	12644	12990	11532	1474	1709	1441
AENJPLPP_00514	6827	6710	6456	9389	11312	9695
AENJPLPP_00515	17781	18299	16324	20907	22968	21793
AENJPLPP_00516	10256	10592	8983	12722	14504	13717
AENJPLPP_00517	4281	4955	4423	4641	5694	5086
AENJPLPP_00518	0	2	3	0	0	0
AENJPLPP_00519	4432	4568	4729	2237	2596	2272
AENJPLPP_00520	8631	9923	8430	3647	4687	4031
AENJPLPP_00521	873	1200	1068	141	179	186
AENJPLPP_00522	885	906	871	1665	1861	1786
AENJPLPP_00523	583	692	612	821	1016	1016
AENJPLPP_00524	748	773	662	408	415	415
AENJPLPP_00525	1896	1597	1485	8888	9692	9115
AENJPLPP_00527	1811	1424	1183	1056	1137	1223
AENJPLPP_00528	325	253	217	45608	58788	46345
AENJPLPP_00529	1533	1244	950	2566	2922	2627
AENJPLPP_00530	2424	2397	2119	4276	5035	4546
AENJPLPP_00531	57	77	72	27	23	16
AENJPLPP_00532	382	332	326	3333	3885	3455
